OBJECTID,DATE,Acute,ICU,Total
1,03/26/2020 10:00:00 AM,68,40,108
2,03/27/2020 10:00:00 AM,76,70,146
3,03/28/2020 10:00:00 AM,113,72,185
4,03/29/2020 10:00:00 AM,118,94,212
5,03/30/2020 10:00:00 AM,150,110,260
6,03/31/2020 10:00:00 AM,177,131,308
7,04/01/2020 10:00:00 AM,257,145,402
8,04/02/2020 10:00:00 AM,0,0,
9,04/03/2020 10:00:00 AM,263,184,447
10,04/04/2020 10:00:00 AM,369,236,605
11,04/05/2020 10:00:00 AM,305,254,559
12,04/06/2020 10:00:00 AM,498,272,770
13,04/07/2020 10:00:00 AM,499,302,801
14,04/08/2020 10:00:00 AM,539,309,848
15,04/09/2020 10:00:00 AM,581,343,924
16,04/10/2020 10:00:00 AM,560,358,918
17,04/11/2020 10:00:00 AM,641,379,1020
18,04/12/2020 10:00:00 AM,633,386,1019
19,04/13/2020 10:00:00 AM,657,414,1071
20,04/14/2020 10:00:00 AM,631,448,1079
21,04/15/2020 10:00:00 AM,718,438,1156
22,04/16/2020 10:00:00 AM,788,431,1219
23,04/17/2020 10:00:00 AM,762,439,1201
24,04/18/2020 10:00:00 AM,800,488,1288
25,04/19/2020 10:00:00 AM,791,498,1289
26,04/20/2020 10:00:00 AM,829,511,1340
27,04/21/2020 10:00:00 AM,907,526,1433
28,04/22/2020 10:00:00 AM,905,527,1432
29,04/23/2020 10:00:00 AM,890,515,1405
30,04/24/2020 10:00:00 AM,878,547,1425
31,04/25/2020 10:00:00 AM,870,538,1408
32,04/26/2020 10:00:00 AM,933,530,1463
33,04/27/2020 10:00:00 AM,978,534,1513
34,04/28/2020 10:00:00 AM,977,551,1528
35,04/29/2020 10:00:00 AM,1027,586,1645
36,04/30/2020 10:00:00 AM,1111,574,1711
37,05/01/2020 10:00:00 AM,1100,568,1668
38,05/02/2020 10:00:00 AM,1091,566,1657
39,05/03/2020 10:00:00 AM,1070,565,1635
40,05/04/2020 10:00:00 AM,1086,563,1649
41,05/05/2020 10:00:00 AM,1120,577,1693
42,05/06/2020 10:00:00 AM,1123,584,1707
43,05/07/2020 10:00:00 AM,1099,584,1683
44,05/08/2020 10:00:00 AM,1103,571,1674
45,05/09/2020 10:00:00 AM,1090,575,1665
46,05/10/2020 10:00:00 AM,1029,611,1640
47,05/11/2020 10:00:00 AM,961,581,1544
48,05/12/2020 10:00:00 AM,958,587,1563
49,05/13/2020 10:00:00 AM,975,574,1550
50,05/14/2020 10:00:00 AM,964,573,1538
51,05/15/2020 10:00:00 AM,896,599,1496
52,05/16/2020 10:00:00 AM,891,594,1500
53,05/17/2020 10:00:00 AM,890,559,1460
54,05/18/2020 10:00:00 AM,892,555,1447
55,05/19/2020 10:00:00 AM,884,537,1421
56,05/20/2020 10:00:00 AM,871,534,1410
57,05/21/2020 10:00:00 AM,848,526,1374
58,05/22/2020 10:00:00 AM,823,506,1329
59,05/23/2020 10:00:00 AM,796,524,1320
60,05/24/2020 10:00:00 AM,787,503,1290
61,05/25/2020 10:00:00 AM,762,517,1279
62,05/26/2020 10:00:00 AM,795,520,1315
63,05/27/2020 10:00:00 AM,818,520,1338
64,05/28/2020 10:00:00 AM,823,511,1334
65,05/29/2020 10:00:00 AM,789,507,1296
66,05/30/2020 10:00:00 AM,747,492,1239
67,05/31/2020 10:00:00 AM,704,479,1183
68,06/01/2020 10:00:00 AM,695,479,1174
69,06/02/2020 10:00:00 AM,667,481,1148
70,06/03/2020 10:00:00 AM,638,475,1113
71,06/04/2020 10:00:00 AM,640,456,1096
72,06/05/2020 10:00:00 AM,621,455,1076
73,06/06/2020 10:00:00 AM,641,418,1059
74,06/07/2020 10:00:00 AM,605,404,1003
75,06/08/2020 10:00:00 AM,599,392,979
76,06/09/2020 10:00:00 AM,584,386,970
77,06/10/2020 10:00:00 AM,576,383,955
78,06/11/2020 10:00:00 AM,544,358,902
79,06/12/2020 10:00:00 AM,505,331,836
80,06/13/2020 10:00:00 AM,478,321,799
81,06/14/2020 10:00:00 AM,447,315,751
82,06/15/2020 10:00:00 AM,453,295,745
83,06/16/2020 10:00:00 AM,458,284,742
84,06/17/2020 10:00:00 AM,419,283,702
85,06/18/2020 10:00:00 AM,391,269,660
86,06/19/2020 10:00:00 AM,387,259,648
87,06/20/2020 10:00:00 AM,396,240,644
88,06/21/2020 10:00:00 AM,376,232,608
89,06/22/2020 10:00:00 AM,357,234,602
90,06/23/2020 10:00:00 AM,349,212,561
91,06/24/2020 10:00:00 AM,331,213,544
92,06/25/2020 10:00:00 AM,302,209,511
93,06/26/2020 10:00:00 AM,297,190,487
94,06/27/2020 10:00:00 AM,297,181,478
95,06/28/2020 10:00:00 AM,288,158,446
96,06/29/2020 10:00:00 AM,287,160,447
97,06/30/2020 10:00:00 AM,300,152,452
98,07/01/2020 10:00:00 AM,307,154,461
99,07/02/2020 10:00:00 AM,292,149,441
100,07/03/2020 10:00:00 AM,279,143,422
101,07/04/2020 10:00:00 AM,267,143,410
102,07/05/2020 10:00:00 AM,265,144,409
103,07/06/2020 10:00:00 AM,261,142,403
104,07/07/2020 10:00:00 AM,259,145,404
105,07/08/2020 10:00:00 AM,262,136,398
106,07/09/2020 10:00:00 AM,267,139,406
107,07/10/2020 10:00:00 AM,263,122,385
108,07/11/2020 10:00:00 AM,270,120,390
109,07/12/2020 10:00:00 AM,275,113,388
110,07/13/2020 10:00:00 AM,278,108,386
111,07/14/2020 10:00:00 AM,295,117,412
112,07/15/2020 10:00:00 AM,318,129,447
113,07/16/2020 10:00:00 AM,299,137,436
114,07/17/2020 10:00:00 AM,306,128,434
115,07/18/2020 10:00:00 AM,311,137,448
116,07/19/2020 10:00:00 AM,318,131,449
117,07/20/2020 10:00:00 AM,327,136,463
118,07/21/2020 10:00:00 AM,353,131,484
119,07/22/2020 10:00:00 AM,368,137,505
120,07/23/2020 10:00:00 AM,395,133,528
121,07/24/2020 10:00:00 AM,390,143,533
122,07/25/2020 10:00:00 AM,388,157,545
123,07/26/2020 10:00:00 AM,396,147,543
124,07/27/2020 10:00:00 AM,391,145,536
125,07/28/2020 10:00:00 AM,392,150,542
126,07/29/2020 10:00:00 AM,426,145,571
127,07/30/2020 10:00:00 AM,446,139,585
128,07/31/2020 10:00:00 AM,462,128,590
129,08/01/2020 10:00:00 AM,460,132,592
130,08/02/2020 10:00:00 AM,424,129,553
131,08/03/2020 10:00:00 AM,413,135,548
132,08/04/2020 10:00:00 AM,412,136,548
133,08/05/2020 10:00:00 AM,421,134,555
134,08/06/2020 10:00:00 AM,396,139,535
135,08/07/2020 10:00:00 AM,393,135,528
136,08/08/2020 10:00:00 AM,388,127,515
137,08/09/2020 10:00:00 AM,397,128,525
138,08/10/2020 10:00:00 AM,415,119,534
139,08/11/2020 10:00:00 AM,408,121,529
140,08/12/2020 10:00:00 AM,371,117,488
141,08/13/2020 10:00:00 AM,359,111,470
142,08/14/2020 10:00:00 AM,350,107,457
143,08/15/2020 10:00:00 AM,353,107,460
144,08/16/2020 10:00:00 AM,360,115,475
145,08/17/2020 10:00:00 AM,329,106,435
146,08/18/2020 10:00:00 AM,351,102,453
147,08/19/2020 10:00:00 AM,368,107,475
148,08/20/2020 10:00:00 AM,348,107,455
149,08/21/2020 10:00:00 AM,353,102,455
150,08/22/2020 10:00:00 AM,343,98,441
151,08/23/2020 10:00:00 AM,308,99,407
152,08/24/2020 10:00:00 AM,304,103,407
153,08/25/2020 10:00:00 AM,314,97,411
154,08/26/2020 10:00:00 AM,326,106,432
155,08/27/2020 10:00:00 AM,305,107,412
156,08/28/2020 10:00:00 AM,306,106,412
157,08/29/2020 10:00:00 AM,281,106,387
158,08/30/2020 10:00:00 AM,251,107,358
159,08/31/2020 10:00:00 AM,270,107,377
160,09/01/2020 10:00:00 AM,273,112,385
161,09/02/2020 10:00:00 AM,257,113,370
162,09/03/2020 10:00:00 AM,270,112,382
163,09/04/2020 10:00:00 AM,287,108,395
164,09/05/2020 10:00:00 AM,253,100,353
165,09/06/2020 10:00:00 AM,245,96,341
166,09/07/2020 10:00:00 AM,253,109,362
167,09/08/2020 10:00:00 AM,263,102,365
168,09/09/2020 10:00:00 AM,275,95,370
169,09/10/2020 10:00:00 AM,266,92,358
170,09/11/2020 10:00:00 AM,280,89,369
171,09/12/2020 10:00:00 AM,276,85,361
172,09/13/2020 10:00:00 AM,262,89,351
173,09/14/2020 10:00:00 AM,257,90,347
174,09/15/2020 10:00:00 AM,279,92,371
175,09/16/2020 10:00:00 AM,261,86,347
176,09/17/2020 10:00:00 AM,270,83,353
177,09/18/2020 10:00:00 AM,263,84,347
178,09/19/2020 10:00:00 AM,249,75,324
179,09/20/2020 10:00:00 AM,212,68,280
180,09/21/2020 10:00:00 AM,219,71,290
181,09/22/2020 10:00:00 AM,232,77,309
182,09/23/2020 10:00:00 AM,253,79,332
183,09/24/2020 10:00:00 AM,268,81,349
184,09/25/2020 10:00:00 AM,265,79,344
185,09/26/2020 10:00:00 AM,266,81,347
186,09/27/2020 10:00:00 AM,238,90,328
187,09/28/2020 10:00:00 AM,233,82,315
188,09/29/2020 10:00:00 AM,265,79,344
189,09/30/2020 10:00:00 AM,257,77,334
190,10/01/2020 10:00:00 AM,257,74,331
191,10/02/2020 10:00:00 AM,243,80,323
192,10/03/2020 10:00:00 AM,245,77,322
193,10/04/2020 10:00:00 AM,240,75,315
194,10/05/2020 10:00:00 AM,250,84,334
195,10/06/2020 10:00:00 AM,272,88,360
196,10/07/2020 10:00:00 AM,298,93,391
197,10/08/2020 10:00:00 AM,305,98,403
198,10/09/2020 10:00:00 AM,295,96,391
199,10/10/2020 10:00:00 AM,292,91,383
200,10/11/2020 10:00:00 AM,303,90,393
201,10/12/2020 10:00:00 AM,291,93,384
202,10/13/2020 10:00:00 AM,302,102,404
203,10/14/2020 10:00:00 AM,304,113,417
204,10/15/2020 10:00:00 AM,303,109,412
205,10/16/2020 10:00:00 AM,305,111,416
206,10/17/2020 10:00:00 AM,316,108,424
207,10/18/2020 10:00:00 AM,317,115,432
208,10/19/2020 10:00:00 AM,318,116,434
