Date,Total COVID-19 Patients,ICU Patients,Vent Patients,PPE,Capacity,Surge Capacity,Beds Occupied
12/02/2020,1860,427,188,0,16476,19771.2,13217
01/21/2022,3836,632,0,0,16476,19771.2,16476
06/19/2021,286,66,25,0,16476,19771.2,13059
09/23/2021,2168,559,0,0,16476,19771.2,16476
01/05/2021,2918,558,337,0,16476,19771.2,13398
10/02/2020,890,201,108,0,16476,19771.2,13247
07/30/2021,453,124,0,0,16476,19771.2,16476
09/11/2020,1120,249,120,2,16476,19771.2,13020
08/23/2021,1364,363,0,0,16476,19771.2,16476
08/05/2021,669,173,0,0,16476,19771.2,16476
11/16/2021,849,204,0,0,16476,19771.2,16476
07/27/2021,429,113,0,0,16476,19771.2,16476
09/24/2021,2106,557,0,0,16476,19771.2,16476
04/19/2022,159,32,0,0,16476,19771.2,16476
04/26/2021,974,251,122,0,16476,19771.2,12972
11/30/2020,1658,376,162,0,16476,19771.2,12496
08/26/2020,1170,265,145,1,16476,19771.2,12889
04/15/2022,150,27,0,0,16476,19771.2,16476
02/01/2021,2446,478,304,0,16476,19771.2,13157
02/04/2021,2444,486,294,0,16476,19771.2,13292
11/22/2020,1469,320,145,0,16476,19771.2,12780
07/08/2020,971,230,98,0,16476,19771.2,12794
11/17/2021,879,205,0,0,16476,19771.2,16476
01/11/2021,3117,571,352,0,16476,19771.2,13379
03/16/2022,452,94,0,0,16476,19771.2,16476
07/18/2020,1166,254,108,0,16476,19771.2,12758
12/06/2021,1077,247,0,0,16476,19771.2,16476
10/03/2021,1910,484,0,0,16476,19771.2,16476
08/25/2020,1174,273,144,1,16476,19771.2,12655
04/25/2021,1002,256,133,0,16476,19771.2,12957
01/23/2022,3634,604,0,0,16476,19771.2,16476
04/18/2021,1056,252,139,0,16476,19771.2,13113
12/26/2020,2454,548,299,0,16476,19771.2,12384
01/14/2021,3196,583,366,0,16476,19771.2,13462
08/28/2021,1619,421,0,0,16476,19771.2,16476
09/07/2021,1996,467,0,0,16476,19771.2,16476
06/13/2020,959,295,142,0,16476,19771.2,12545
02/09/2022,2113,397,0,0,16476,19771.2,16476
06/08/2020,1173,308,160,0,16476,19771.2,12049
03/28/2022,288,54,0,0,16476,19771.2,16476
10/22/2021,1266,313,0,0,16476,19771.2,16476
08/31/2020,1082,257,146,2,16476,19771.2,12613
09/28/2020,890,193,103,0,16476,19771.2,12663
01/15/2021,3147,580,362,0,16476,19771.2,13514
06/23/2021,259,66,37,0,16476,19771.2,13277
07/09/2021,257,63,36,0,16476,19771.2,13201
03/31/2022,267,46,0,0,16476,19771.2,16476
08/20/2021,1265,344,0,0,16476,19771.2,16476
02/12/2022,1786,358,0,0,16476,19771.2,16476
12/09/2021,1189,258,0,0,16476,19771.2,16476
10/14/2021,1533,393,0,0,16476,19771.2,16476
04/20/2020,1296,396,237,6,16476,19771.2,10515
01/17/2021,4043,566,339,0,16476,19771.2,13312
04/06/2021,1088,249,137,0,16476,19771.2,12906
05/09/2020,1593,367,198,0,16476,19771.2,11778
11/24/2021,867,216,0,0,16476,19771.2,16476
01/22/2021,2972,547,332,0,16476,19771.2,13429
02/08/2021,2285,464,298,0,16476,19771.2,12983
11/27/2021,903,228,0,0,16476,19771.2,16476
06/20/2021,283,72,37,0,16476,19771.2,12868
03/08/2021,1142,244,161,0,16476,19771.2,12837
11/12/2021,825,208,0,0,16476,19771.2,16476
04/04/2021,1035,259,130,0,16476,19771.2,12734
07/03/2021,260,50,33,0,16476,19771.2,13027
07/21/2021,352,89,45,0,16476,19771.2,13101
08/22/2020,1154,254,125,1,16476,19771.2,12860
11/21/2020,1507,331,135,0,16476,19771.2,12927
12/29/2020,2698,539,326,0,16476,19771.2,13136
03/30/2021,1070,231,128,0,16476,19771.2,12868
06/25/2020,854,237,104,0,16476,19771.2,12852
12/25/2020,2478,518,291,0,16476,19771.2,12726
07/29/2020,1350,276,155,0,16476,19771.2,12829
02/24/2021,1564,318,185,0,16476,19771.2,13133
05/26/2021,527,153,91,0,16476,19771.2,13318
04/27/2021,1009,257,135,0,16476,19771.2,13077
03/17/2021,1077,234,135,0,16476,19771.2,13151
04/26/2020,1436,387,217,2,16476,19771.2,11156
10/10/2020,943,208,97,0,16476,19771.2,13017
10/20/2021,1325,331,0,0,16476,19771.2,16476
02/02/2021,2473,493,304,0,16476,19771.2,13269
03/06/2022,691,141,0,0,16476,19771.2,16476
03/06/2021,1164,263,160,0,16476,19771.2,13033
01/07/2022,3329,545,0,0,16476,19771.2,16476
03/27/2022,282,53,0,0,16476,19771.2,16476
03/19/2022,402,91,0,0,16476,19771.2,16476
03/25/2022,321,78,0,0,16476,19771.2,16476
03/24/2022,366,85,0,0,16476,19771.2,16476
04/26/2022,185,28,0,0,16476,19771.2,16476
03/27/2021,994,232,124,0,16476,19771.2,11878
06/02/2021,476,121,77,0,16476,19771.2,12962
09/30/2020,908,190,104,0,16476,19771.2,13102
08/13/2020,1258,289,141,3,16476,19771.2,13043
05/08/2021,799,203,116,0,16476,19771.2,13323
05/22/2020,1459,366,207,0,16476,19771.2,12287
06/27/2020,819,234,103,0,16476,19771.2,12629
08/10/2021,879,228,0,0,16476,19771.2,16476
